,Date,Time,Open,High,Low,Close,Volume
390,2014-4-25,00:00:00,503.7,504.96,441.3,464.33565999999996,30667
391,2014-4-26,00:00:00,464.33565999999996,469.19,449.8001,460.0,7835
392,2014-4-27,00:00:00,459.01,465.6,427.55,429.99,7849
393,2014-4-28,00:00:00,429.99,450.0,423.11,441.39,15283
394,2014-4-29,00:00:00,441.39,454.0,434.0,446.53,7573
395,2014-4-30,00:00:00,446.53,453.9899,432.0,449.0201,7046
396,2014-5-1,00:00:00,449.0201,463.53,448.82,459.4102,5144
397,2014-5-2,00:00:00,461.11992999999995,461.11992999999995,443.0,452.0,3751
398,2014-5-3,00:00:00,451.99,451.9999,430.0,439.7398,7602
399,2014-5-4,00:00:00,439.7297,441.4999,429.0,435.0413,4220
